CA003051932,50.98,-114.95,AB,COX HILL,
CA003051R4R,49.63,-114.48,AB,CROWSNEST,
CA003051R51,51.45,-115.77,AB,CUTHEAD LAKE,
CA003052270,50.9,-114.7,AB,ELBOW RS,
CA003052602,51.53,-115.1,AB,FALLEN TIMBER,
CA0030526EL,50.73,-114.7,AB,FORGET ME NOT MOUNTAIN,
CA003052D82,50.78,-115.05,AB,EVANS THOMAS,
CA003052PP6,51.3,-115.13,AB,GHOST DIVERSION,
CA003053512,51.77,-115.32,AB,JAMES RIVER HEADWATERS,
CA003053536,52.93,-118.03,AB,JASPER WARDEN,
CA003053552,52.35,-116.78,AB,JOB CREEK,
CA003053600,51.03,-115.03,AB,KANANASKIS,
CA003053760,51.43,-116.22,AB,LAKE LOUISE,
CA003053908,51.89,-115.38,AB,LIMESTONE RIDGE,
CA003053988,50.17,-114.7,AB,LOST CREEK SOUTH,
CA003054733,50.48,-114.9,AB,MOUNT ODLUM,
CA003054843,52.47,-116.08,AB,NORDEGG CS,
CA003054R99,50.1,-114.62,AB,PASQUE,
CA003055119,50.37,-114.42,AB,PEKISKO,
CA003055302,49.31,-114.09,AB,PRAIRIE BLUFF,
CA003055343,49.82,-114.63,AB,RACEHORSE CREEK,
CA003055754,51.97,-116.72,AB,SASK RIVER CROSSING 2,
CA003055768,51.67,-115.8,AB,SCOTCH CAMP,
CA003055976,51.54,-116.06,AB,SKOKI,
CA003055H8C,50.65,-114.62,AB,SHEEP RIVER 2,
CA003056055,52.67,-117.21,AB,SOUTH ESK,
CA003056056,51.21,-115.17,AB,SOUTH GHOST HEADWATERS,
CA003056067,49.22,-114.08,AB,SPIONKOP CREEK,
CA003056100,49.36,-113.11,AB,ST. MARY RESERVOIR,
CA003056212,50.12,-114.07,AB,STREETER,
CA003056214,49.13,-113.81,AB,WATERTON PARK GATE,
CA003056267,51.07,-115.78,AB,SUNSHINE CS,
CA003056273,52.45,-117.44,AB,SUNWAPTA,
CA003057242,49.13,-114.03,AB,WATERTON RED ROCK,
CA003057K55,49.28,-114.37,AB,WESTCASTLE,
CA00305A002,51.72,-116.48,AB,BOW SUMMIT (PC),
